EI_1,EI_2,EI_3,EP_1,EP_2,EP_3,ER_1,ER_2,ER_3,SS_1,SS_2,SS_3,SC_1,SC_2,SC_3,SR_1,SR_2,SR_3,F1,F2,F3,NF1,NF2,NF3,Firm_Age,Firm_Size,WE1,WE2,WE3,gender,founder_employee,age_of_respondent,Education_Level,Business_Area
2,3,4,3,3,4,3,2,4,1,1,3,3,3,3,2,2,1,2,2,3,3,1,3,5 years above,Above 15 members,"No, I don't have experience",Yes,Yes,Female,Employee,30-39,Undergraduate School,Others
5,5,2,3,5,3,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,Less than 2 years,Less than 5 members,"No, I don't have experience",No,Yes,Male,Employee,Younger than 30,Undergraduate School,Media and Entertainment
1,2,2,1,1,2,1,2,1,2,2,1,1,2,2,1,2,1,2,1,1,1,1,1,5 years above,Less than 5 members,"As founder or employee, I have startup experiences more than 3 times",No,Yes,Female,Founder of Company,Younger than 30,Undergraduate School,Others
3,3,2,1,2,1,2,1,3,2,1,3,1,1,1,2,3,3,3,3,2,3,2,2,Less than 2 years,Less than 5 members,"No, I don't have experience",Yes,Yes,Male,Employee,Younger than 30,Undergraduate School,Others
5,3,5,2,5,4,4,4,4,4,5,4,5,5,5,5,5,5,4,5,4,4,5,5,3-4 years,Less than 5 members,"As founder or employee, I have startup experiences more than 3 times",No,Yes,Male,Founder of Company,30-39,Undergraduate School,Others
1,3,3,1,3,3,2,3,1,4,1,2,3,3,1,2,2,1,1,2,3,1,3,1,5 years above,5-9 members,"As founder or employee,  I have startup experience, one time",No,No,Female,Employee,Younger than 30,Undergraduate School,Others
1,2,3,3,2,3,4,2,2,3,1,2,3,1,1,1,2,2,2,2,2,2,2,2,Less than 2 years,Above 15 members,"As founder or employee,  I have startup experience, one time",No,Yes,Female,Employee,Younger than 30,Graduate School,Manufacturing
4,4,4,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Less than 2 years,Less than 5 members,"No, I don't have experience",No,No,Female,Founder of Company,Younger than 30,Undergraduate School,Others
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Less than 2 years,Less than 5 members,"As founder or employee,  I have startup experience, one time",No,No,Female,Founder of Company,Younger than 30,High School,Manufacturing
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3-4 years,5-9 members,"As founder or employee,  I have startup experience, one time",No,No,Male,Founder of Company,30-39,Graduate School,Manufacturing
2,1,1,3,4,3,2,2,2,2,2,1,1,1,2,2,2,1,1,1,1,2,2,2,Less than 2 years,Less than 5 members,"No, I don't have experience",No,No,Female,Founder of Company,30-39,Undergraduate School,Others
1,2,3,2,3,2,2,2,1,2,1,4,3,1,1,2,2,1,2,1,2,2,2,3,Less than 2 years,Less than 5 members,"No, I don't have experience",Yes,Yes,Male,Founder of Company,Younger than 30,Undergraduate School,Others
1,2,3,2,3,2,2,2,1,2,1,4,3,1,1,2,2,1,2,1,2,2,2,3,Less than 2 years,Less than 5 members,"No, I don't have experience",Yes,Yes,Male,Founder of Company,Younger than 30,Undergraduate School,Others
1,2,3,2,3,2,2,2,1,2,1,4,3,1,1,2,2,1,2,1,2,2,2,3,Less than 2 years,Less than 5 members,"No, I don't have experience",Yes,Yes,Male,Founder of Company,Younger than 30,Undergraduate School,Others
1,4,3,1,2,2,2,1,3,1,2,2,1,1,1,1,1,1,2,2,2,2,1,2,3-4 years,5-9 members,"No, I don't have experience",No,Yes,Female,Employee,Younger than 30,Undergraduate School,Others
5,2,3,1,2,2,1,1,2,1,2,2,2,1,1,2,2,2,1,1,1,1,1,1,3-4 years,Above 15 members,"No, I don't have experience",Yes,Yes,Female,Employee,Younger than 30,Undergraduate School,Fintech
5,2,3,1,2,2,1,1,2,1,2,2,2,1,1,2,2,2,1,1,1,1,1,1,3-4 years,Above 15 members,"No, I don't have experience",Yes,Yes,Female,Employee,Younger than 30,Undergraduate School,Fintech
1,1,1,2,2,2,2,1,2,3,3,3,3,3,2,1,1,1,1,1,1,1,1,2,3-4 years,Above 15 members,"No, I don't have experience",No,Yes,Male,Employee,30-39,Undergraduate School,Others
1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5 years above,Above 15 members,"No, I don't have experience",Yes,Yes,Female,Employee,Younger than 30,Undergraduate School,Travel
2,2,5,1,5,4,3,3,5,2,5,2,3,2,2,3,1,1,1,1,1,1,1,2,5 years above,Above 15 members,"No, I don't have experience",No,No,Male,Employee,Younger than 30,Undergraduate School,Media and Entertainment
1,1,1,1,1,1,1,1,1,3,4,3,2,2,2,2,2,1,1,1,1,1,1,1,Less than 2 years,Above 15 members,"No, I don't have experience",No,No,Male,Employee,Younger than 30,Undergraduate School,E-Commerce
2,3,2,2,2,3,3,3,3,2,2,2,2,3,2,2,3,2,3,3,3,3,3,3,5 years above,Less than 5 members,"No, I don't have experience",Yes,Yes,Male,Employee,30-39,Graduate School,Media and Entertainment
4,4,4,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3-4 years,Above 15 members,"As founder or employee, I have startup experiences more than 3 times",No,No,Male,Employee,30-39,Graduate School,Transportation/Automotive
1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5 years above,Above 15 members,"No, I don't have experience",Yes,Yes,Female,Employee,30-39,Undergraduate School,Others
2,1,1,4,3,3,3,3,4,3,4,2,2,4,3,4,3,1,2,3,3,3,3,3,5 years above,Above 15 members,"No, I don't have experience",No,No,Male,Employee,30-39,Undergraduate School,Transportation/Automotive
1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,2,1,2,1,1,2,Less than 2 years,5-9 members,"No, I don't have experience",No,Yes,Male,Founder of Company,30-39,Graduate School,Education
5,5,3,3,5,3,4,4,4,5,4,3,3,5,5,4,4,4,4,4,3,3,4,4,3-4 years,Above 15 members,"No, I don't have experience",Yes,Yes,Male,Employee,Younger than 30,Undergraduate School,Energy
1,3,2,2,4,4,2,2,1,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,3-4 years,Above 15 members,"No, I don't have experience",No,Yes,Female,Employee,Younger than 30,Undergraduate School,Others
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Less than 2 years,5-9 members,"No, I don't have experience",Yes,No,Male,Employee,Younger than 30,Undergraduate School,Others
1,2,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,5 years above,Above 15 members,"No, I don't have experience",No,Yes,Female,Employee,30-39,Undergraduate School,Media and Entertainment
1,2,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,5 years above,Above 15 members,"No, I don't have experience",No,Yes,Female,Employee,30-39,Undergraduate School,Media and Entertainment
1,1,1,1,2,2,1,2,2,2,1,1,1,1,2,1,1,2,1,1,1,1,1,2,5 years above,Above 15 members,"No, I don't have experience",Yes,Yes,Male,Employee,Younger than 30,Undergraduate School,Others
1,1,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,1,1,1,2,2,2,5 years above,Above 15 members,"As founder or employee, I have startup experiences more than 3 times",Yes,Yes,Female,Founder of Company,40-49,Graduate School,Education
2,2,2,1,1,1,2,2,1,1,1,1,2,2,2,2,2,1,1,1,1,2,1,1,5 years above,Above 15 members,"No, I don't have experience",Yes,Yes,Female,Employee,Younger than 30,Undergraduate School,Education
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5 years above,Above 15 members,"No, I don't have experience",Yes,Yes,Male,Employee,30-39,Undergraduate School,Fintech
2,2,2,2,2,1,1,1,2,1,1,1,2,2,2,1,2,2,2,1,2,1,2,2,Less than 2 years,Above 15 members,"No, I don't have experience",No,Yes,Female,Employee,Younger than 30,Undergraduate School,E-Commerce
1,2,2,1,2,1,2,1,1,1,1,1,2,1,1,2,1,1,2,2,1,2,1,1,5 years above,Above 15 members,"No, I don't have experience",No,Yes,Female,Employee,Younger than 30,Undergraduate School,Others
1,1,2,1,2,2,2,2,2,1,1,2,2,2,1,2,1,2,1,2,1,2,2,2,5 years above,10-14 members,"No, I don't have experience",No,No,Female,Employee,30-39,Undergraduate School,Fintech
2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,2,1,1,1,1,1,5 years above,Above 15 members,"No, I don't have experience",No,No,Female,Employee,Younger than 30,Undergraduate School,E-Commerce
2,2,1,2,2,2,1,2,2,1,2,1,2,1,2,2,2,2,2,2,1,2,2,1,3-4 years,Above 15 members,"No, I don't have experience",No,No,Male,Employee,30-39,Undergraduate School,Transportation/Automotive
2,1,2,2,2,2,1,2,1,2,1,2,2,2,1,2,1,2,1,1,1,2,1,1,Less than 2 years,5-9 members,"No, I don't have experience",No,No,Female,Founder of Company,Younger than 30,Undergraduate School,Medical and Healthcare
1,2,2,1,1,1,1,1,2,1,2,1,2,1,1,1,2,1,2,1,2,1,2,2,3-4 years,Less than 5 members,"No, I don't have experience",No,No,Female,Employee,40-49,Undergraduate School,Others
2,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3-4 years,Above 15 members,"No, I don't have experience",No,Yes,Male,Employee,30-39,Undergraduate School,Logistics
1,1,3,2,1,3,3,3,1,1,3,2,1,1,1,1,1,1,1,1,1,2,1,1,3-4 years,10-14 members,"As founder or employee, I have startup experiences, two times",No,No,Female,Founder of Company,30-39,Graduate School,E-Commerce
1,1,1,1,2,2,2,2,2,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,Less than 2 years,5-9 members,"As founder or employee,  I have startup experience, one time",No,No,Female,Founder of Company,Younger than 30,Graduate School,Others
4,5,1,4,3,4,5,5,4,4,4,5,5,3,4,4,4,4,5,3,5,4,4,2,Less than 2 years,Less than 5 members,"No, I don't have experience",No,No,Female,Founder of Company,Younger than 30,Undergraduate School,Others
2,1,2,2,2,2,4,3,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,5 years above,Above 15 members,"No, I don't have experience",No,No,Female,Employee,Younger than 30,Undergraduate School,Others
1,1,1,4,4,4,1,1,1,4,3,4,4,1,1,1,1,1,1,1,1,1,1,1,3-4 years,Above 15 members,"No, I don't have experience",No,No,Male,Employee,Younger than 30,Undergraduate School,Others
2,3,3,4,2,4,2,3,3,2,3,2,2,2,2,2,3,2,2,2,3,2,2,4,Less than 2 years,5-9 members,"No, I don't have experience",No,Yes,Female,Founder of Company,30-39,Undergraduate School,Fintech
1,2,1,2,4,4,2,2,2,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,Less than 2 years,10-14 members,"No, I don't have experience",No,No,Female,Employee,Younger than 30,Undergraduate School,Others
2,1,2,1,1,1,1,1,3,3,1,1,2,2,2,1,1,2,1,1,1,1,1,1,3-4 years,Less than 5 members,"No, I don't have experience",No,No,Female,Employee,Younger than 30,High School,Others
3,1,1,3,3,3,2,2,1,4,2,2,2,2,4,4,2,2,3,3,2,2,1,4,5 years above,5-9 members,"No, I don't have experience",No,No,Male,Employee,Younger than 30,Graduate School,Enterprise Services
5,4,4,3,5,4,5,5,5,4,5,4,5,5,4,4,5,5,5,5,5,5,5,5,5 years above,Above 15 members,"As founder or employee,  I have startup experience, one time",No,Yes,Male,Employee,Younger than 30,Graduate School,Online to Offline Commerce
2,1,1,3,5,4,2,2,2,1,1,3,3,3,3,2,3,2,4,5,3,3,3,3,3-4 years,Above 15 members,"No, I don't have experience",No,No,Female,Employee,30-39,Undergraduate School,Others
3,3,2,2,1,2,4,3,3,2,2,3,3,3,2,3,2,2,3,2,3,3,3,3,5 years above,Above 15 members,"As founder or employee,  I have startup experience, one time",No,No,Male,Employee,Younger than 30,Undergraduate School,Others
2,1,3,3,1,5,1,1,1,1,3,1,2,1,1,1,1,1,1,3,3,1,1,1,Less than 2 years,5-9 members,"As founder or employee, I have startup experiences more than 3 times",No,Yes,Female,Founder of Company,30-39,Graduate School,Others
4,3,4,3,3,4,4,4,4,4,4,5,5,5,4,5,5,4,4,4,4,5,4,5,Less than 2 years,Less than 5 members,"No, I don't have experience",No,No,Female,Founder of Company,Younger than 30,Undergraduate School,Fintech
4,1,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,5 years above,Above 15 members,"As founder or employee, I have startup experiences, two times",No,Yes,Male,Employee,Younger than 30,Graduate School,Fintech
5,1,1,3,1,1,4,3,4,2,1,2,3,3,5,3,2,1,3,3,3,3,3,4,5 years above,Above 15 members,"As founder or employee,  I have startup experience, one time",No,Yes,Female,Employee,Younger than 30,Undergraduate School,E-Commerce
1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,3-4 years,Above 15 members,"No, I don't have experience",No,Yes,Male,Employee,30-39,Undergraduate School,Logistics
3,2,2,3,2,2,2,3,2,3,3,3,2,4,4,3,2,3,2,3,2,2,2,2,5 years above,10-14 members,"No, I don't have experience",No,No,Male,Employee,Younger than 30,Undergraduate School,Real Estate and Household
5,4,4,4,4,4,3,4,4,4,5,5,5,5,4,4,5,5,4,4,4,4,4,4,5 years above,Above 15 members,"No, I don't have experience",No,No,Female,Employee,Younger than 30,Graduate School,Others
3,3,2,2,2,3,3,2,3,3,2,3,2,3,2,2,2,2,2,2,2,2,2,2,Less than 2 years,Above 15 members,"No, I don't have experience",Yes,Yes,Female,Employee,Younger than 30,High School,Others
3,3,3,3,4,3,4,3,2,2,3,3,4,3,4,4,4,4,3,2,4,4,3,3,5 years above,Above 15 members,"No, I don't have experience",No,No,Male,Employee,Younger than 30,Undergraduate School,Others
5,4,5,5,3,5,5,5,5,4,4,4,5,5,5,5,4,5,5,4,5,5,5,4,Less than 2 years,Less than 5 members,"As founder or employee,  I have startup experience, one time",No,No,Female,Founder of Company,Younger than 30,High School,Others
2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,1,2,2,1,1,2,1,2,2,5 years above,5-9 members,"No, I don't have experience",No,No,Female,Founder of Company,50 or above,Undergraduate School,Others
1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,2,3-4 years,5-9 members,"As founder or employee, I have startup experiences more than 3 times",Yes,Yes,Female,Founder of Company,30-39,Graduate School,Media and Entertainment
1,1,3,3,2,3,2,2,2,3,3,2,1,2,1,3,2,1,1,2,1,1,1,1,5 years above,Above 15 members,"As founder or employee,  I have startup experience, one time",No,No,Female,Employee,Younger than 30,Undergraduate School,Others
2,4,2,3,4,2,2,2,1,1,1,2,3,2,2,2,1,2,3,3,3,2,2,5,Less than 2 years,Less than 5 members,"As founder or employee,  I have startup experience, one time",No,Yes,Male,Founder of Company,Younger than 30,High School,Others
2,3,1,2,3,2,1,2,1,1,1,1,1,1,2,1,1,1,3,1,3,1,2,4,Less than 2 years,Less than 5 members,"As founder or employee, I have startup experiences more than 3 times",No,Yes,Female,Founder of Company,Younger than 30,Undergraduate School,Media and Entertainment
2,2,1,2,4,1,3,1,2,1,1,2,1,1,2,2,3,1,2,3,4,3,3,3,Less than 2 years,Less than 5 members,"No, I don't have experience",No,No,Female,Founder of Company,Younger than 30,Undergraduate School,E-Commerce
3,3,3,3,4,2,4,3,3,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,Less than 2 years,10-14 members,"No, I don't have experience",No,No,Female,Employee,Younger than 30,Graduate School,E-Commerce
5,3,3,2,4,3,4,1,1,1,1,1,2,1,1,2,2,1,1,1,1,3,1,3,Less than 2 years,Less than 5 members,"As founder or employee,  I have startup experience, one time",No,No,Male,Founder of Company,30-39,Undergraduate School,Others
5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5 years above,Above 15 members,"As founder or employee, I have startup experiences more than 3 times",No,No,Female,Founder of Company,Younger than 30,High School,Fintech
1,1,3,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Less than 2 years,Above 15 members,"As founder or employee,  I have startup experience, one time",No,Yes,Female,Founder of Company,Younger than 30,Graduate School,Enterprise Services
2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,Less than 2 years,5-9 members,"No, I don't have experience",No,Yes,Female,Employee,30-39,Undergraduate School,Others
1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,4,Less than 2 years,5-9 members,"No, I don't have experience",Yes,Yes,Female,Founder of Company,40-49,Undergraduate School,Others
2,2,3,3,1,3,2,3,3,2,1,1,3,3,3,2,2,1,2,3,2,2,2,2,5 years above,Above 15 members,"As founder or employee, I have startup experiences more than 3 times",No,Yes,Female,Employee,Younger than 30,Undergraduate School,Others
2,1,1,1,1,2,3,3,2,2,2,2,2,3,1,1,1,1,1,1,1,1,1,1,3-4 years,10-14 members,"As founder or employee,  I have startup experience, one time",No,No,Female,Founder of Company,30-39,Undergraduate School,E-Commerce
5,3,5,3,3,5,5,5,5,5,5,5,4,5,5,4,4,5,5,4,4,4,5,2,5 years above,Above 15 members,"As founder or employee,  I have startup experience, one time",No,Yes,Male,Founder of Company,30-39,Graduate School,Enterprise Services
1,4,1,3,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5 years above,Less than 5 members,"As founder or employee,  I have startup experience, one time",No,Yes,Female,Founder of Company,40-49,Undergraduate School,Enterprise Services
1,2,5,4,2,5,2,1,2,2,1,3,1,1,2,2,1,1,2,2,1,2,2,3,Less than 2 years,5-9 members,"As founder or employee, I have startup experiences, two times",No,Yes,Female,Founder of Company,Younger than 30,Undergraduate School,E-Commerce
2,1,2,1,1,2,2,2,1,2,1,1,2,1,1,1,1,1,2,1,2,1,2,2,3-4 years,10-14 members,"As founder or employee,  I have startup experience, one time",No,Yes,Male,Founder of Company,30-39,Graduate School,Others
1,2,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,2,2,2,1,2,1,1,5 years above,Above 15 members,"As founder or employee, I have startup experiences, two times",Yes,Yes,Male,Employee,30-39,Undergraduate School,E-Commerce
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3-4 years,Above 15 members,"No, I don't have experience",No,Yes,Male,Employee,30-39,Undergraduate School,E-Commerce
1,2,2,2,1,2,2,2,2,2,1,2,1,2,2,2,1,1,2,2,2,2,2,2,5 years above,Above 15 members,"No, I don't have experience",No,No,Female,Employee,Younger than 30,Undergraduate School,Others
2,2,2,1,2,2,1,1,2,1,2,1,1,1,1,1,2,2,2,2,1,2,1,1,3-4 years,10-14 members,"No, I don't have experience",No,No,Male,Employee,Younger than 30,Undergraduate School,Others
1,1,2,2,2,1,2,1,1,1,2,2,1,1,1,1,2,1,1,2,2,2,1,2,5 years above,10-14 members,"No, I don't have experience",No,No,Female,Employee,30-39,Graduate School,Media and Entertainment
3,3,2,2,3,1,2,2,2,1,3,1,3,2,1,1,1,1,1,1,2,1,1,2,3-4 years,Above 15 members,"As founder or employee, I have startup experiences more than 3 times",Yes,Yes,Male,Employee,40-49,Undergraduate School,Logistics
2,2,1,1,1,2,2,1,2,1,1,2,2,1,1,2,2,2,2,1,1,1,1,2,3-4 years,Above 15 members,"No, I don't have experience",No,No,Female,Employee,30-39,Undergraduate School,Fintech
2,1,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,2,1,2,Less than 2 years,10-14 members,"No, I don't have experience",No,No,Female,Employee,30-39,Undergraduate School,E-Commerce
2,1,1,2,2,1,2,1,2,2,1,1,1,2,2,1,2,2,1,2,2,2,2,2,3-4 years,Less than 5 members,"As founder or employee, I have startup experiences, two times",Yes,Yes,Female,Founder of Company,50 or above,Undergraduate School,Others
1,1,2,1,1,1,2,1,2,1,1,1,1,2,1,1,1,2,1,2,1,2,2,2,5 years above,Above 15 members,"No, I don't have experience",No,No,Male,Employee,Younger than 30,Undergraduate School,Fintech
3,4,3,2,3,4,3,2,2,3,2,4,2,3,3,2,3,2,2,2,3,2,2,2,5 years above,10-14 members,"As founder or employee,  I have startup experience, one time",No,No,Male,Employee,30-39,Undergraduate School,Logistics
1,1,2,1,1,1,2,1,1,1,2,1,2,1,1,1,1,2,1,2,1,1,1,2,3-4 years,Less than 5 members,"As founder or employee,  I have startup experience, one time",No,No,Male,Employee,30-39,Undergraduate School,Transportation/Automotive
1,2,1,1,1,2,2,2,1,2,1,2,1,1,1,1,2,1,1,3,1,2,1,1,5 years above,10-14 members,"As founder or employee,  I have startup experience, one time",No,No,Female,Founder of Company,30-39,Graduate School,Others
1,1,2,2,2,1,2,1,2,1,3,2,1,1,1,2,1,1,2,1,3,3,2,2,3-4 years,5-9 members,"No, I don't have experience",No,No,Female,Employee,30-39,Undergraduate School,E-Commerce
1,3,2,1,1,2,2,2,1,1,1,3,2,1,3,2,2,1,2,1,2,1,1,2,3-4 years,10-14 members,"No, I don't have experience",No,No,Female,Employee,Younger than 30,High School,Logistics
1,3,3,2,3,1,2,3,2,2,2,1,2,2,2,2,2,1,3,2,2,2,2,1,5 years above,Above 15 members,"No, I don't have experience",No,No,Female,Employee,Younger than 30,Undergraduate School,Others
2,2,3,2,2,2,1,1,1,2,2,1,1,1,1,2,2,2,1,2,1,1,2,1,3-4 years,Above 15 members,"No, I don't have experience",No,No,Male,Employee,40-49,Graduate School,E-Commerce
2,1,2,2,1,2,1,3,3,2,3,2,1,2,3,2,2,2,2,1,1,2,2,2,3-4 years,10-14 members,"No, I don't have experience",No,Yes,Male,Employee,Younger than 30,Undergraduate School,Education
1,2,3,2,2,2,2,2,2,1,2,2,1,2,2,2,2,1,2,2,2,1,2,2,Less than 2 years,10-14 members,"No, I don't have experience",Yes,Yes,Female,Employee,Younger than 30,Graduate School,Others
1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,2,1,5 years above,10-14 members,"As founder or employee,  I have startup experience, one time",Yes,Yes,Female,Founder of Company,30-39,Graduate School,E-Commerce
1,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,3,2,2,2,2,3,2,5 years above,Above 15 members,"No, I don't have experience",No,No,Male,Employee,40-49,Undergraduate School,Others
1,2,1,2,1,1,2,2,2,1,2,1,1,1,2,1,2,1,2,1,2,2,1,1,5 years above,5-9 members,"No, I don't have experience",No,No,Male,Employee,40-49,Undergraduate School,E-Commerce
2,1,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,2,1,2,Less than 2 years,10-14 members,"No, I don't have experience",No,No,Female,Employee,30-39,Undergraduate School,E-Commerce
2,1,2,3,3,2,2,2,3,1,1,2,1,2,1,1,1,1,1,1,1,1,3,5,Less than 2 years,5-9 members,"As founder or employee, I have startup experiences more than 3 times",No,Yes,Female,Founder of Company,30-39,Graduate School,Online to Offline Commerce
1,2,1,1,2,2,2,1,1,2,2,1,1,1,1,2,2,2,1,2,2,1,1,1,Less than 2 years,Above 15 members,"No, I don't have experience",No,No,Female,Employee,Younger than 30,Graduate School,Others